top_speed_kmh,battery_capacity_kWh,battery_type,number_of_cells,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,seats,drivetrain,length_mm,width_mm,height_mm,car_body_type
160,60.5,0,126.0,310.0,144,340,7.3,75.0,0,750.0,5,1,4455,1875,1615,4
150,44.9,0,104.0,180.0,132,265,12.3,50.0,0,0.0,5,1,4290,1770,1570,2
160,44.9,0,104.0,498.0127388535032,145,260,8.0,50.0,0,0.0,5,1,4290,1770,1570,2
160,60.5,0,126.0,310.0,142,350,7.0,65.0,0,0.0,5,1,4290,1770,1570,2
150,30.0,0,94.0,175.0,136,190,11.1,45.0,0,0.0,4,1,3990,1720,1590,2
150,43.2,0,90.0,175.0,134,270,12.1,60.0,0,0.0,4,1,3990,1720,1590,2
150,43.2,0,90.0,220.0,139,265,9.1,60.0,0,0.0,4,1,3990,1720,1590,2
220,61.4,0,128.0,380.0,133,365,7.5,75.0,0,750.0,5,2,4800,1875,1460,5
180,82.5,0,172.0,670.0,159,445,3.8,100.0,0,1500.0,5,0,4800,1875,1460,5
180,82.5,0,172.0,360.0,145,480,5.9,100.0,0,750.0,5,2,4800,1875,1460,5
175,71.8,0,132.0,310.0,171,360,9.3,72.0,0,1300.0,5,1,4785,1890,1668,4
175,87.0,0,160.0,330.0,174,425,9.6,85.0,0,1300.0,5,1,4785,1890,1668,4
215,82.5,0,172.0,690.0,181,400,4.5,115.0,0,1500.0,5,0,4830,1925,1620,4
215,82.5,0,172.0,380.0,171,415,6.7,115.0,0,750.0,5,2,4830,1925,1620,4
215,91.3,0,485.29347826086956,690.0,182,430,4.5,165.0,0,1500.0,5,0,4830,1925,1620,4
190,108.8,0,485.29347826086956,700.0,205,460,4.9,100.0,0,1500.0,7,0,4970,1955,1745,4
160,59.0,0,216.0,310.0,156,360,6.7,110.0,0,0.0,5,2,4322,1809,1540,2
160,77.0,0,288.0,310.0,157,460,7.0,125.0,0,0.0,5,2,4322,1809,1540,2
200,79.0,0,288.0,545.0,149,465,5.6,135.0,0,0.0,5,2,4322,1809,1538,2
180,77.0,0,288.0,545.0,142,445,6.8,120.0,0,1000.0,5,2,4644,1861,1597,4
180,77.0,0,288.0,545.0,150,425,5.5,120.0,0,1200.0,5,0,4644,1861,1597,4
210,102.0,0,288.0,610.0,192,460,5.3,165.0,0,1587.0,5,0,5005,1977,1623,4
132,50.0,0,485.29347826086956,260.0,149,235,11.7,80.0,0,750.0,5,1,4403,1921,1803,6
132,50.0,0,485.29347826086956,260.0,149,230,11.7,80.0,0,750.0,7,1,4753,1921,1814,6
135,44.0,0,485.29347826086956,120.0,135,255,11.5,60.0,0,550.0,5,1,4015,1755,1577,2
145,44.0,0,485.29347826086956,125.0,144,240,12.9,60.0,0,350.0,5,1,4395,1795,1660,4
150,46.3,0,216.0,260.0,135,285,9.9,78.0,0,0.0,5,1,4360,1834,1525,2
150,50.8,0,102.0,260.0,122,325,9.1,78.0,0,0.0,5,1,4360,1834,1525,2
150,46.3,0,216.0,260.0,132,290,9.9,78.0,0,0.0,5,1,4600,1834,1525,5
150,50.8,0,102.0,260.0,119,335,9.1,78.0,0,0.0,5,1,4600,1834,1525,5
130,46.3,0,216.0,220.0,217,180,13.3,78.0,0,1000.0,9,1,4983,1920,1890,6
130,68.0,0,324.0,220.0,202,260,14.2,79.0,0,1000.0,9,1,4983,1920,1890,6
130,46.3,0,216.0,220.0,219,180,13.3,78.0,0,1000.0,9,1,5333,1920,1890,6
130,68.0,0,324.0,220.0,204,260,14.2,79.0,0,1000.0,9,1,5333,1920,1890,6
150,50.8,0,102.0,260.0,128,300,9.0,85.0,0,0.0,5,1,4118,1802,1534,4
160,58.3,0,485.29347826086956,345.0,130,375,7.1,70.0,0,0.0,5,1,4400,1866,1470,2
190,97.2,0,485.29347826086956,511.0,146,530,5.4,130.0,0,1400.0,5,0,4834,1920,1574,4
190,73.7,0,485.29347826086956,345.0,141,415,7.7,100.0,0,1260.0,5,1,4834,1920,1574,4
190,97.2,0,485.29347826086956,345.0,136,545,7.8,130.0,0,1200.0,5,1,4834,1920,1574,4
125,25.0,0,72.0,125.0,109,165,19.1,29.0,0,0.0,4,1,3700,1622,1516,2
125,25.0,0,72.0,113.0,114,160,13.7,29.0,0,0.0,4,1,3700,1622,1516,2
140,29.0,0,485.29347826086956,160.0,126,190,12.5,50.0,0,1052.2610619469026,5,1,4020,1810,1570,2
140,40.0,0,485.29347826086956,160.0,129,255,12.5,51.0,0,1052.2610619469026,5,1,4020,1810,1570,2
150,81.0,0,485.29347826086956,320.0,203,390,9.5,65.0,0,1052.2610619469026,5,1,4698,1908,1696,4
135,21.3,0,108.0,220.0,112,135,9.0,40.0,0,0.0,4,1,3631,1683,1529,2
150,37.3,0,192.0,220.0,122,235,9.0,67.0,0,0.0,4,1,3631,1683,1529,2
135,21.3,0,108.0,220.0,112,135,9.0,40.0,0,0.0,4,1,3631,1683,1529,0
150,37.3,0,192.0,220.0,125,230,9.0,67.0,0,0.0,4,1,3631,1683,1529,0
135,21.3,0,108.0,220.0,112,135,9.0,40.0,0,0.0,4,1,3631,1683,1529,2
150,37.3,0,192.0,220.0,118,235,9.0,67.0,0,0.0,4,1,3631,1683,1529,2
150,50.8,0,102.0,260.0,124,310,9.0,79.0,0,0.0,5,1,4171,1781,1523,4
132,43.8,0,485.29347826086956,122.0,136,260,11.0,60.0,0,550.0,5,1,3999,1763,1570,2
